,coefficient,odds_ratio,p_value
(Intercept),-14.3965739038774,5.59303317353199e-07,0.995212953637583
treatment,-3.01646487621272,0.048974042006398,0.999123157398023
persistent,0.531686506041806,1.70179998571932,0.0736752793840434
der_sex_female,0.310184225635854,1.36367631512889,0.280927091604071
pat_region_E,0.368403934240584,1.44542577803382,0.406073748836504
pat_region_MW,-0.328734666112113,0.71983398776102,0.46059426126529
pat_region_S,0.336939847598719,1.40065480845439,0.449032801132281
pat_region_W,NA,NA,NA
idx_paytype_C,13.4105435175497,666998.794499962,0.995540816755511
idx_paytype_M,14.2694112708438,1574441.66793476,0.995255238117099
idx_paytype_R,0.0154813296180158,1.01560178620801,0.999995491500837
idx_paytype_S,13.1027118485209,490270.151876816,0.995643173808014
idx_paytype_U,NA,NA,NA
idx_prodtype_D,-0.780082937562529,0.458367993804558,0.596180991123367
idx_prodtype_H,-1.57971925045073,0.206032933739136,0.235720292902406
idx_prodtype_I,-1.09188591439728,0.335583015711043,0.473072341860514
idx_prodtype_P,-1.07271602747844,0.342078160868957,0.401044438718218
idx_prodtype_S,-2.35117644289979,0.0952570318122434,0.100171178328305
idx_prodtype_U,NA,NA,NA
idx_spec_01,-1.10628753469753,0.330784711152802,0.246871637266629
idx_spec_02,0.188656490732308,1.20762605048539,0.845323411432757
idx_spec_03,-0.715996935262882,0.488704661948102,0.392177036650444
idx_spec_04,-0.506673094202227,0.602496697956647,0.548305702939094
idx_spec_05,NA,NA,NA
age_1,0.665457046264444,1.94537944659036,0.134294547022102
age_2,0.943870124169475,2.56990806056879,0.010444087955611
age_3,0.737453139338182,2.09060425065763,0.0324420153018578
age_4,NA,NA,NA
pchrlson_1,-0.748052682884555,0.473287296412928,0.0503421933972178
pchrlson_2,-0.684892593474521,0.504144375062649,0.106959476726157
pchrlson_3,NA,NA,NA
num_pre_meds_1,0.00251523389190686,1.0025183997464,0.995658558585206
num_pre_meds_2,-0.152683618436942,0.858401261186848,0.674788520015863
num_pre_meds_3,0.168182510532575,1.18315252874169,0.596602548341337
num_pre_meds_4,NA,NA,NA
num_pre_op_dx_1,-0.349518714026909,0.705027327840425,0.359728900360474
num_pre_op_dx_2,-0.180159383775463,0.835137093500145,0.617555667171223
num_pre_op_dx_3,-0.160298139250121,0.851889769324468,0.606150068307776
num_pre_op_dx_4,NA,NA,NA
pre_non_ms_total_allowed_1,-0.602781404389974,0.547287289894453,0.153869189075563
pre_non_ms_total_allowed_2,-0.118793489916203,0.887991160957494,0.730872873006544
pre_non_ms_total_allowed_3,-0.281891309697138,0.7543556712238,0.369587562510804
pre_non_ms_total_allowed_4,NA,NA,NA
pre_ms_total_allowed_1,0.18830895468545,1.2072064298226,0.722040044047155
pre_ms_total_allowed_2,-0.275397626400267,0.759270157334651,0.42811705748017
pre_ms_total_allowed_3,0.158373157439247,1.17160330563634,0.591853587101783
pre_ms_total_allowed_4,NA,NA,NA
pre_rx_any,0.307413089875787,1.35990261406078,0.491718549163601
pre_comor1,0.280669536754388,1.32401599300978,0.283974391670447
pre_comor2,0.121342038049265,1.12901101105718,0.678407538105756
pre_comor3,0.151135694229081,1.16315448072433,0.676287677356098
pre_comor4,-0.295986220483394,0.743797677122009,0.342694820687461
pre_comor5,-0.295500122561588,0.744159323517762,0.243743283942563
pre_comor6,-0.0562448960176366,0.945307605473093,0.864617391870363
pre_comor7,0.246798694742225,1.2799214319291,0.458502047829186
pre_comor8,0.471891517980817,1.60302347507039,0.441487233479557
pre_comor9,1.68062791924514,5.36892616497119,0.0101992905583862
pre_comor10,-0.118037403656821,0.888662812754097,0.856325739085976
pre_comor11,-0.149985998318113,0.860720027868711,0.663188466522152
pre_comor12,0.302775483923432,1.35361052299987,0.454946849678978
pre_comor13,-0.169654847911731,0.843956059528292,0.532106676483506
pre_comor14,0.27688896395731,1.31901990415317,0.66319660188531
pre_comor15,0.565415047226275,1.76017818820971,0.237340036440987
pre_comor16,0.0912645214278389,1.09555876570184,0.801216904538555
pre_comor17,-1.31885897649842,0.267440283586004,0.252051915361551
pre_comor19,1.9013282537551,6.69478090711209,0.118272729928675
pre_comor20,-14.3126347204939,6.08277453854883e-07,0.988520402360609
pre_comor22,-14.7664446332826,3.86379946872521e-07,0.99191498672271
pre_comor23,-0.0325008211582855,0.968021654931977,0.907794968732892
pre_comor24,-0.870083865648788,0.418916415077446,0.111387367123749
pre_comor25,0.301671584509208,1.35211709758382,0.293231669731822
pre_comor26,-1.81776933496651,0.162387579520167,0.110559478817944
pre_comor27,-1.22760982050382,0.292992045000138,0.0539414392101768
pre_comor28,0.447943041462928,1.56508954790365,0.668310064082428
pre_comor29,0.561547917936356,1.75338449609196,0.527481249772057
pre_comor30,-0.755854477070535,0.469609172973157,0.172938120928646
pre_comor31,0.827997641236131,2.28873128778187,0.0164722956866941
pre_comor32,0.46347961517895,1.58959555377338,0.664701812118962
pre_comor33,-0.937984688289061,0.39141586600672,0.202628371741724
pre_ampyra1,-0.173165352317336,0.840998542289112,0.670306148346276
pre_mri_any,-0.581585999776926,0.559011071691655,0.0526521819838262
pre_90_cort_any,0.74294270244654,2.10211231284313,0.0136052746155808
pre_cort_oral,-0.0392837164844613,0.961477883320662,0.886181362719439
pre_cort_iv,0.457350829364435,1.57988305640238,0.137913935722912
pre_relapse,0.612168380250187,1.84442648374488,0.0833353375163621
persistent_interact,-0.125924852669403,0.881681100275122,0.745824277961867
der_sex_female_interact,-0.480182873689814,0.618670242950375,0.16775351576186
pat_region_E_interact,-0.41864508980994,0.657937662616282,0.492378220858948
pat_region_MW_interact,0.672475127600417,1.95908029838752,0.261621563515508
pat_region_S_interact,-0.303702869992283,0.738080139630241,0.613364974512269
pat_region_W_interact,NA,NA,NA
idx_paytype_C_interact,-0.273422463223637,0.760771321824907,0.371687520702788
idx_paytype_M_interact,-15.0183406895671,3.0034299774671e-07,0.987454810217159
idx_paytype_R_interact,-1.57785583481595,0.206417216657347,0.999146140597787
idx_paytype_S_interact,NA,NA,NA
idx_paytype_U_interact,NA,NA,NA
idx_prodtype_D_interact,2.33078759933562,10.2860396215724,0.999322473742192
idx_prodtype_H_interact,2.59425673545949,13.3866338525616,0.999245887038326
idx_prodtype_I_interact,0.57757340579724,1.78170969441545,0.999832107748788
idx_prodtype_P_interact,2.26306496036445,9.61250601293485,0.999342159677171
idx_prodtype_S_interact,3.96851458260197,52.9058851210604,0.998846410398287
idx_prodtype_U_interact,NA,NA,NA
idx_spec_01_interact,1.04916370335994,2.85526227306542,0.336808253732446
idx_spec_02_interact,-0.645102239948486,0.524608903377373,0.56944218879787
idx_spec_03_interact,0.372293893009074,1.45105937483906,0.695167238322631
idx_spec_04_interact,0.381045879164396,1.4638147624673,0.68970149164753
idx_spec_05_interact,NA,NA,NA
age_1_interact,-0.231879592818599,0.793041605462647,0.671470656437851
age_2_interact,-0.509532217148929,0.600776546056884,0.264908368818415
age_3_interact,-0.388187135438992,0.678285400150578,0.365475033538453
age_4_interact,NA,NA,NA
pchrlson_1_interact,0.673767541231792,1.96161387733343,0.152753573998807
pchrlson_2_interact,0.91081873476601,2.48635736749393,0.0752738488705729
pchrlson_3_interact,NA,NA,NA
num_pre_meds_1_interact,-0.121592213013928,0.885509394093811,0.833039615967183
num_pre_meds_2_interact,-0.286378116769323,0.750978604651731,0.522533634477098
