,coefficient,odds_ratio,p_value
(Intercept),-1.25692526920934,0.284527528472477,0.467405137742901
treatment,-16.2037131650664,9.17945265196592e-08,0.992240122848528
persist_days,0.0100180534667736,1.0100684021559,1.6544582254887e-06
der_sex_female,0.1698147067723,1.18508524270528,0.464214358963507
pat_region_E,-0.1136260159946,0.892591708491778,0.755170581286092
pat_region_MW,-0.30293617347822,0.738646240086287,0.38495804897438
pat_region_S,0.0022102660682157,1.00221271050688,0.994918723562939
pat_region_W,NA,NA,NA
idx_paytype_C,-0.180241867983947,0.835068210718922,0.923684032090232
idx_paytype_M,1.3513532215045,3.86264901534589,0.499342829100876
idx_paytype_R,-15.1999615157647,2.50461275857968e-07,0.986935990845687
idx_paytype_S,-0.273327532352394,0.760843545937399,0.884944564712236
idx_paytype_U,NA,NA,NA
idx_prodtype_D,-1.55971070995324,0.210196870268487,0.291377280785694
idx_prodtype_H,-1.02444476501278,0.358995737073016,0.433258548380563
idx_prodtype_I,-0.931939354226265,0.393789272463441,0.504830019813893
idx_prodtype_P,-0.966176394341913,0.380535276777476,0.446303726697051
idx_prodtype_S,-1.56418839951696,0.209257777987056,0.244622511179731
idx_prodtype_U,NA,NA,NA
idx_spec_01,-1.27627070445097,0.27907611954799,0.0560202728613089
idx_spec_02,-0.655561947867987,0.519150245228185,0.353995446711871
idx_spec_03,-0.680339541928206,0.506445003855447,0.201641247637123
idx_spec_04,-0.544613286067505,0.580066059598689,0.309343424358462
idx_spec_05,NA,NA,NA
age_1,0.0892167068542951,1.09331756006526,0.779698312308475
age_2,0.0980058396059935,1.1029692259954,0.718704775317258
age_3,0.190406885360127,1.20974172372794,0.451603892407765
age_4,NA,NA,NA
pchrlson_1,-0.424203325728335,0.654290834222897,0.144997244200335
pchrlson_2,-0.165937245453733,0.847099391859418,0.590336117365854
pchrlson_3,NA,NA,NA
num_pre_meds_1,-0.291621674379202,0.747051111092655,0.443217014553866
num_pre_meds_2,-0.388810202280933,0.677862914640396,0.172852164150432
num_pre_meds_3,0.172595782864534,1.1883856421448,0.481300461299089
num_pre_meds_4,NA,NA,NA
num_pre_op_dx_1,-0.611509616867754,0.542531236258856,0.0624293658505861
num_pre_op_dx_2,-0.159130066257885,0.852885420139586,0.566186121256827
num_pre_op_dx_3,-0.103224494204047,0.901924473935493,0.661930679006727
num_pre_op_dx_4,NA,NA,NA
pre_non_ms_total_allowed_1,0.0339920824684977,1.03457641540433,0.917519343481208
pre_non_ms_total_allowed_2,0.00131250578436443,1.00131336749704,0.996341292406752
pre_non_ms_total_allowed_3,-0.135851587284234,0.872972183047481,0.587628363630141
pre_non_ms_total_allowed_4,NA,NA,NA
pre_ms_total_allowed_1,-0.154188896201156,0.857110100876862,0.694432337409638
pre_ms_total_allowed_2,0.0354082427862404,1.03604257938609,0.890502805644593
pre_ms_total_allowed_3,-0.144397790856476,0.865543374329194,0.55342533382001
pre_ms_total_allowed_4,NA,NA,NA
