ntree,bag.fraction,mtry,interaction.depth,AUC_training,AUC_test,Qini_training,Qini_test,AUC_overfitting,Qini_overfitting,
50,0.7,9,9,0.902,0.674,0.072,-0.001,0.228,0.073,
50,0.7,9,11,0.911,0.672,0.075,0.000,0.239,0.074,
50,0.7,10,3,0.773,0.646,0.036,0.002,0.127,0.034,
50,0.7,10,5,0.835,0.670,0.054,0.004,0.164,0.049,
50,0.7,10,7,0.866,0.678,0.064,0.004,0.188,0.059,
50,0.7,10,9,0.903,0.675,0.074,0.005,0.228,0.069,
50,0.7,10,11,0.919,0.659,0.078,0.004,0.259,0.074,
50,0.7,12,3,0.753,0.618,0.038,0.004,0.135,0.034,
50,0.7,12,5,0.837,0.658,0.054,0.008,0.179,0.046,
50,0.7,12,7,0.882,0.663,0.064,0.002,0.219,0.063,
50,0.7,12,9,0.904,0.658,0.074,0.001,0.246,0.073,
50,0.7,12,11,0.911,0.670,0.076,-0.002,0.241,0.078,
50,0.9,5,3,0.749,0.652,0.038,0.005,0.097,0.032,
50,0.9,5,5,0.843,0.685,0.061,0.005,0.158,0.056,
50,0.9,5,7,0.892,0.700,0.075,0.003,0.192,0.072,
50,0.9,5,9,0.898,0.682,0.076,0.008,0.216,0.068,
50,0.9,5,11,0.915,0.685,0.078,0.006,0.230,0.072,
50,0.9,7,3,0.775,0.640,0.044,0.006,0.135,0.038,
50,0.9,7,5,0.848,0.672,0.059,-0.001,0.177,0.060,
50,0.9,7,7,0.897,0.653,0.074,0.000,0.243,0.074,
50,0.9,7,9,0.905,0.683,0.078,0.000,0.222,0.078,
50,0.9,7,11,0.927,0.678,0.085,0.001,0.249,0.084,
50,0.9,9,3,0.757,0.636,0.039,0.008,0.121,0.031,
50,0.9,9,5,0.848,0.653,0.060,0.005,0.195,0.055,
50,0.9,9,7,0.893,0.672,0.074,0.000,0.221,0.074,
50,0.9,9,9,0.934,0.663,0.083,-0.001,0.271,0.083,
50,0.9,9,11,0.930,0.673,0.083,0.005,0.258,0.077,
50,0.9,10,3,0.747,0.629,0.040,0.005,0.118,0.035,
50,0.9,10,5,0.857,0.665,0.061,0.006,0.191,0.055,
50,0.9,10,7,0.902,0.675,0.072,0.003,0.227,0.069,
50,0.9,10,9,0.922,0.668,0.081,0.001,0.254,0.080,
50,0.9,10,11,0.934,0.677,0.082,0.003,0.257,0.079,
50,0.9,12,3,0.723,0.607,0.036,0.006,0.116,0.030,
50,0.9,12,5,0.833,0.658,0.057,0.006,0.175,0.051,
50,0.9,12,7,0.906,0.664,0.075,0.003,0.242,0.072,
50,0.9,12,9,0.923,0.656,0.080,0.001,0.267,0.080,
50,0.9,12,11,0.934,0.673,0.082,0.004,0.261,0.078,
100,0.1,5,3,0.714,0.656,0.022,-0.002,0.058,0.024,
100,0.1,5,5,0.741,0.665,0.023,0.001,0.076,0.022,
100,0.1,5,7,0.735,0.666,0.027,0.000,0.069,0.027,
100,0.1,5,9,0.735,0.666,0.027,0.000,0.069,0.027,
100,0.1,5,11,0.735,0.666,0.027,0.000,0.069,0.027,
100,0.1,7,3,0.723,0.691,0.011,0.003,0.032,0.008,
100,0.1,7,5,0.729,0.661,0.022,0.001,0.068,0.021,
100,0.1,7,7,0.731,0.648,0.021,-0.004,0.083,0.025,
100,0.1,7,9,0.731,0.648,0.021,-0.004,0.083,0.025,
100,0.1,7,11,0.731,0.648,0.021,-0.004,0.083,0.025,
100,0.1,9,3,0.725,0.677,0.019,0.003,0.048,0.016,
100,0.1,9,5,0.741,0.677,0.017,0.000,0.064,0.018,
100,0.1,9,7,0.742,0.672,0.021,0.002,0.071,0.019,
100,0.1,9,9,0.742,0.672,0.021,0.002,0.071,0.019,
100,0.1,9,11,0.742,0.672,0.021,0.002,0.071,0.019,
100,0.1,10,3,0.739,0.681,0.013,0.001,0.058,0.012,
100,0.1,10,5,0.739,0.679,0.019,-0.003,0.060,0.023,
100,0.1,10,7,0.737,0.682,0.017,-0.002,0.055,0.018,
100,0.1,10,9,0.737,0.682,0.017,-0.002,0.055,0.018,
100,0.1,10,11,0.737,0.682,0.017,-0.002,0.055,0.018,
100,0.1,12,3,0.733,0.656,0.023,0.002,0.077,0.020,
100,0.1,12,5,0.738,0.679,0.018,0.005,0.059,0.013,
100,0.1,12,7,0.734,0.683,0.018,0.003,0.052,0.015,
100,0.1,12,9,0.734,0.683,0.018,0.003,0.052,0.015,
100,0.1,12,11,0.734,0.683,0.018,0.003,0.052,0.015,
100,0.3,5,3,0.759,0.645,0.034,0.003,0.113,0.032,
100,0.3,5,5,0.801,0.673,0.045,0.001,0.128,0.044,
100,0.3,5,7,0.812,0.693,0.047,-0.002,0.119,0.050,
100,0.3,5,9,0.812,0.667,0.043,0.000,0.144,0.042,
100,0.3,5,11,0.818,0.683,0.046,0.003,0.136,0.044,
100,0.3,7,3,0.769,0.671,0.034,-0.001,0.098,0.035,
100,0.3,7,5,0.805,0.684,0.046,-0.001,0.121,0.048,
100,0.3,7,7,0.810,0.672,0.044,0.003,0.138,0.041,
100,0.3,7,9,0.824,0.679,0.050,-0.004,0.145,0.053,
100,0.3,7,11,0.825,0.672,0.049,0.005,0.153,0.044,
100,0.3,9,3,0.763,0.642,0.035,0.003,0.121,0.032,
100,0.3,9,5,0.815,0.663,0.045,-0.001,0.153,0.045,
100,0.3,9,7,0.821,0.668,0.046,0.001,0.152,0.045,
100,0.3,9,9,0.823,0.683,0.051,-0.001,0.140,0.052,
100,0.3,9,11,0.824,0.684,0.051,0.000,0.140,0.050,
100,0.3,10,3,0.759,0.637,0.033,0.001,0.121,0.031,
100,0.3,10,5,0.816,0.670,0.043,-0.002,0.146,0.045,
100,0.3,10,7,0.835,0.681,0.048,-0.003,0.154,0.051,
100,0.3,10,9,0.835,0.667,0.051,0.002,0.168,0.049,
100,0.3,10,11,0.840,0.676,0.057,0.002,0.163,0.055,
100,0.3,12,3,0.768,0.655,0.035,0.001,0.113,0.034,
100,0.3,12,5,0.807,0.667,0.041,0.001,0.140,0.040,
100,0.3,12,7,0.819,0.661,0.046,-0.001,0.158,0.047,
100,0.3,12,9,0.827,0.674,0.047,0.003,0.153,0.043,
100,0.3,12,11,0.836,0.674,0.051,0.004,0.162,0.047,
100,0.5,5,3,0.769,0.649,0.040,0.000,0.120,0.040,
100,0.5,5,5,0.825,0.676,0.053,0.000,0.148,0.052,
100,0.5,5,7,0.857,0.674,0.064,-0.001,0.182,0.066,
100,0.5,5,9,0.862,0.684,0.058,0.000,0.178,0.058,
100,0.5,5,11,0.863,0.684,0.064,0.004,0.180,0.060,
100,0.5,7,3,0.771,0.648,0.037,-0.002,0.123,0.039,
100,0.5,7,5,0.837,0.677,0.052,0.003,0.160,0.049,
100,0.5,7,7,0.866,0.679,0.061,0.007,0.187,0.055,
100,0.5,7,9,0.879,0.678,0.064,0.002,0.200,0.062,
100,0.5,7,11,0.877,0.690,0.064,0.002,0.187,0.062,
100,0.5,9,3,0.785,0.672,0.043,0.004,0.113,0.040,
100,0.5,9,5,0.831,0.654,0.049,0.002,0.177,0.048,
100,0.5,9,7,0.865,0.682,0.062,0.003,0.183,0.060,
100,0.5,9,9,0.878,0.675,0.067,-0.001,0.203,0.068,
100,0.5,9,11,0.884,0.684,0.065,0.002,0.200,0.062,
100,0.5,10,3,0.772,0.652,0.038,0.003,0.120,0.035,
100,0.5,10,5,0.835,0.663,0.052,0.002,0.172,0.050,
100,0.5,10,7,0.867,0.683,0.064,0.000,0.184,0.064,
100,0.5,10,9,0.878,0.665,0.065,0.003,0.213,0.062,
100,0.5,10,11,0.885,0.670,0.067,0.002,0.215,0.065,
100,0.5,12,3,0.781,0.658,0.037,0.005,0.123,0.033,
100,0.5,12,5,0.852,0.680,0.056,0.001,0.173,0.055,
100,0.5,12,7,0.866,0.662,0.061,0.001,0.204,0.061,
100,0.5,12,9,0.888,0.658,0.067,0.000,0.230,0.067,
100,0.5,12,11,0.889,0.666,0.069,-0.002,0.223,0.071,
100,0.7,5,3,0.773,0.667,0.040,0.004,0.106,0.035,
100,0.7,5,5,0.835,0.681,0.057,0.001,0.154,0.056,
