model,training/test,num_actual_positive,num_actual_negative,num_crt_pred_positive,num_crt_pred_negative,true_post_rate,true_neg_rate,PPV,NPV,rate_accuracy
std,training,319,81,277.08,39.08,0.86858934169279,0.482469135802469,0.86858934169279,0.482469135802469,0.7904
std,test,2350,598,1878.86,161.96,0.799514893617021,0.270836120401338,0.811659909133189,0.256190002553461,0.692272727272727
stepwise,training,319,81,275.42,34.78,0.863385579937304,0.429382716049383,0.856404026456629,0.443697389564493,0.7755
stepwise,test,2350,598,1911.85,160.13,0.813553191489362,0.267775919732441,0.813686345446562,0.267898049375581,0.702842605156038
lasso,training,319,81,277.1,39.1,0.868652037617555,0.482716049382716,0.868652037617555,0.482716049382716,0.7905
lasso,test,2350,598,1878.92,161.91,0.799540425531915,0.270752508361204,0.81164693878187,0.256159067115587,0.692276119402985
