Covariate,Gilenya_relapse,Gilenya_not_relapse,Gilenya_relapse_rate,Tecfidera_relapse,Tecfidera_not_relapse,Tecfidera_relapse_rate,odds_ratio,p_value
num_pre_cort_oral_1,99,1044,0.0866141732283465,114,970,0.105166051660517,0.806946861677088,0.149424949801464
num_pre_cort_oral_2,45,275,0.140625,64,290,0.180790960451977,0.741808151770836,0.173704316979244
num_pre_cort_oral_3,53,158,0.251184834123223,53,183,0.224576271186441,1.15784365973299,0.577729958597971
pre_cort_iv,115,458,0.200698080279232,129,440,0.226713532513181,0.8565547931405,0.312175394113894
num_pre_cort_iv_1,82,1019,0.0744777475022707,102,1003,0.0923076923076923,0.791384967104009,0.143414496742934
num_pre_cort_iv_2,52,256,0.168831168831169,54,258,0.173076923076923,0.970524892755005,0.915318320211417
num_pre_cort_iv_3,63,202,0.237735849056604,75,182,0.291828793774319,0.757243589889145,0.166118740333472
pre_relapse,125,502,0.199362041467305,140,487,0.223285486443381,0.866278793778705,0.332850295579713
pre_relapse_90,72,243,0.228571428571429,71,243,0.226114649681529,1.01406406767305,1
pre_ip_relapse,13,55,0.191176470588235,18,43,0.295081967213115,0.567194358755237,0.21618449126674
num_pre_relapses_1,72,975,0.0687679083094556,91,956,0.0869149952244508,0.775887061139335,0.141858728916226
num_pre_relapses_2,59,361,0.14047619047619,70,350,0.166666666666667,0.817373317873817,0.338591401510275
num_pre_relapses_3,66,141,0.318840579710145,70,137,0.338164251207729,0.916303911309936,0.753643711395235
