"","auc_avg","auc_SD"
"pers_0.5",0.692367162435601,0.015096762089263
"pers_0.2",0.822695609951346,0.030361257494396
"rel_0.5",0.765876881622682,0.0160100183895677
"rel_0.2",0.897776837092688,0.0329436456474042
