model,training/test,num_actual_positive,num_actual_negative,num_crt_pred_positive,num_crt_pred_negative,true_post_rate,true_neg_rate,PPV,NPV,rate_accuracy
std,training,214,1460,78.52,1324.52,0.366915887850467,0.907205479452055,0.366915887850467,0.907205479452055,0.838136200716846
std,test,214,1460,61.26,1305.29,0.286261682242991,0.894034246575342,0.284223214203685,0.895268028468602,0.816338112305854
stepwise,training,214,1460,75.96,1319.27,0.354953271028037,0.903609589041096,0.350729941798408,0.90527769491309,0.833470728793309
stepwise,test,214,1460,62.72,1304.19,0.293084112149533,0.893280821917808,0.287489287175799,0.896090097652813,0.816553166069295
lasso,training,214,1460,78.54,1324.54,0.367009345794392,0.907219178082192,0.367009345794392,0.907219178082192,0.83816009557945
lasso,test,214,1460,61.91,1306.12,0.289299065420561,0.894602739726027,0.287416519992379,0.895727470177585,0.817222222222222
