model,training/test,num_actual_positive,num_actual_negative,num_crt_pred_positive,num_crt_pred_negative,true_post_rate,true_neg_rate,PPV,NPV,rate_accuracy
std,training,1334,340,1121.28,127.28,0.840539730134933,0.374352941176471,0.840539730134933,0.374352941176471,0.745854241338112
std,test,1335,339,1095.51,105.16,0.820606741573034,0.310206489675516,0.824142828588568,0.305000771389315,0.717246117084827
stepwise,training,1334,340,1075.42,71.16,0.80616191904048,0.209294117647059,0.800021455717406,0.215640721369445,0.684934289127837
stepwise,test,1335,339,1072.55,72.17,0.803408239700375,0.212890855457227,0.800826168622558,0.215036548863521,0.683823178016726
lasso,training,1334,340,1065.43,71.43,0.798673163418291,0.210088235294118,0.798673163418291,0.210088235294118,0.679127837514934
lasso,test,1335,339,1060.24,70.58,0.794187265917603,0.208200589970501,0.797970615043783,0.204461737874334,0.675519713261649
