,Mean_AUC_training,SD_AUC_training,Mean_AUC_test,SD_AUC_test,overfitting
table2_std,0.841970897241418,0.0268937088666184,0.611200020221466,0.0260296210349787,0.377570139700474
table2_stepwise,0.807078487555481,0.0346337093921431,0.625413761120517,0.0262779881525756,0.290471265150108
table2_lasso,0.764399685375583,0.0471862674547776,0.666158138056903,0.0250441348679468,0.147474813721015
