,Mean_AUC_training,SD_AUC_training,Mean_AUC_test,SD_AUC_test,overfitting
table2_std,0.745814972474715,0.0141874551002061,0.681976123415696,0.0154265506547564,0.0936086277321276
table2_stepwise,0.733349363077711,0.0156693753566578,0.682661230956344,0.0158724393409399,0.0742507847565301
table2_lasso,0.722219530149789,0.018445546770576,0.696034998719754,0.0158295197921963,0.0376195614849784
